code,pred_date,pred_return_FreTS,pred_return_PatchTST,pred_return_WPMixer,pred_return_iTransformer,rank_FreTS,rank_PatchTST,rank_WPMixer,rank_iTransformer,rank_sum,rank_sum_rank
002234.SZ,2025-12-30,0.006126037333160639,0.0011529354378581047,0.0032531279139220715,-0.0018383350688964128,289.0,715.0,497.0,190.0,1691.0,76.0
600057.SH,2025-12-30,0.0047456962056458,0.004353831056505442,0.005972318816930056,-0.005621776450425386,441.0,214.0,190.0,851.0,1696.0,77.0
603043.SH,2025-12-30,0.0046498896554112434,0.0013957376359030604,0.004105925559997559,-0.0022294186055660248,455.0,638.0,368.0,238.0,1699.0,78.0
600844.SH,2025-12-30,0.004355364479124546,0.0012351725017651916,0.003594726324081421,-0.0008277801680378616,488.0,692.0,437.0,95.0,1712.0,79.0
603456.SH,2025-12-30,0.003911449573934078,0.0022228385787457228,0.003366996068507433,-0.0019208351150155067,573.0,471.0,473.0,198.0,1715.0,80.0
600354.SH,2025-12-30,0.007742078974843025,0.0034457927104085684,0.004733766429126263,-0.006331507582217455,165.0,304.0,292.0,955.0,1716.0,81.0
603188.SH,2025-12-30,0.0030588707886636257,0.0026495838537812233,0.00391003955155611,-0.001857370836660266,741.0,409.0,386.0,193.0,1729.0,82.0
002140.SZ,2025-12-30,0.004092468414455652,0.004625955130904913,0.004834448453038931,-0.004900405649095774,539.0,189.0,283.0,723.0,1734.0,83.0
605399.SH,2025-12-30,7.116392953321338e-05,0.008937602862715721,0.009101646021008492,-0.0011895899660885334,1505.0,49.0,70.0,126.0,1750.0,84.0
603823.SH,2025-12-30,0.0011108076432719827,0.0037193296011537313,0.005910374224185944,0.0014739956241101027,1262.0,274.0,195.0,22.0,1753.0,85.0
600586.SH,2025-12-30,0.004069199785590172,0.0021781008690595627,0.0027823897544294596,-0.00133984861895442,541.0,480.0,598.0,141.0,1760.0,86.0
603967.SH,2025-12-30,0.0053714569658041,0.0032119511160999537,0.0028718854300677776,-0.0038916231133043766,365.0,340.0,571.0,514.0,1790.0,87.0
603196.SH,2025-12-30,0.005939994938671589,0.002308542374521494,0.0034349579364061356,-0.004174988716840744,309.0,463.0,463.0,570.0,1805.0,88.0
603739.SH,2025-12-30,0.007586232852190733,0.0024704618845134974,0.002213770756497979,-0.003861373756080866,175.0,435.0,711.0,507.0,1828.0,89.0
002988.SZ,2025-12-30,0.00900725182145834,0.0033586546778678894,0.001257877447642386,-0.0033290348947048187,118.0,317.0,987.0,422.0,1844.0,90.0
002883.SZ,2025-12-30,0.004710931330919266,0.0024472051300108433,0.0026474131736904383,-0.0028939838521182537,448.0,439.0,631.0,338.0,1856.0,91.0
600558.SH,2025-12-30,0.00957184936851263,0.00273984856903553,0.0050964648835361,-0.007386526092886925,96.0,399.0,249.0,1115.0,1859.0,92.0
603860.SH,2025-12-30,0.005550410132855177,0.001356149441562593,0.00275781168602407,-0.002486510667949915,348.0,649.0,603.0,276.0,1876.0,93.0
002556.SZ,2025-12-30,0.007732323836535215,0.0021309659350663424,0.0028048905078321695,-0.00444159097969532,166.0,489.0,592.0,630.0,1877.0,94.0
002496.SZ,2025-12-30,0.0025541868526488543,0.001995357219129801,0.003353518433868885,0.002151050139218569,866.0,519.0,479.0,14.0,1878.0,95.0
002656.SZ,2025-12-30,0.006577948108315468,0.0062567926943302155,0.005530164577066898,-0.00889297854155302,252.0,118.0,215.0,1298.0,1883.0,96.0
002743.SZ,2025-12-30,0.006680067628622055,0.007253305055201054,0.006226683501154184,-0.00954318419098854,238.0,86.0,175.0,1384.0,1883.0,96.0
002805.SZ,2025-12-30,0.007166561204940081,0.008959291502833366,0.009102360345423222,-0.011259013786911964,198.0,48.0,69.0,1571.0,1886.0,98.0
600076.SH,2025-12-30,0.016236433759331703,0.0008014884660951793,0.008611399680376053,-0.00647925678640604,22.0,792.0,83.0,989.0,1886.0,98.0
600476.SH,2025-12-30,0.007361144293099642,0.001379318186081946,0.0013706120662391186,-0.0011620000004768372,187.0,643.0,939.0,120.0,1889.0,100.0
002956.SZ,2025-12-30,0.013115108013153076,0.008509691804647446,0.007546914275735617,-0.012296832166612148,41.0,53.0,109.0,1692.0,1895.0,101.0
600358.SH,2025-12-30,0.003695989027619362,0.001270125969313085,0.005094838794320822,-0.0029729423113167286,614.0,682.0,250.0,359.0,1905.0,102.0
000428.SZ,2025-12-30,0.006687934510409832,0.0021386248990893364,0.00430733896791935,-0.005712972953915596,237.0,486.0,341.0,861.0,1925.0,103.0
603977.SH,2025-12-30,0.004323181696236134,0.0020312233828008175,0.006047902163118124,-0.00499137956649065,497.0,507.0,187.0,735.0,1926.0,104.0
600359.SH,2025-12-30,0.0035389692056924105,0.0013111014850437641,0.003437850857153535,-0.0016378976870328188,640.0,668.0,461.0,168.0,1937.0,105.0
